epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,9,,,,,0.3087834119796753,2.1929852962493896
0,9,,,0.09531249850988388,2.3931689262390137,,
1,19,,,,,0.07774140685796738,2.3935704231262207
1,19,,,0.11562500149011612,2.2890875339508057,,
2,29,,,,,0.15275505185127258,2.182898998260498
2,29,,,0.23046875,2.2443509101867676,,
3,39,,,,,0.4083469808101654,2.0599231719970703
3,39,,,0.25390625,2.16243577003479,,
4,49,,,,,0.49099835753440857,2.0003867149353027
4,49,,,0.34687501192092896,2.094503879547119,,
5,59,,,,,0.5403710007667542,1.9349443912506104
5,59,,,0.359375,2.0056357383728027,,
6,69,,,,,0.35242772102355957,1.8269257545471191
6,69,,,0.5249999761581421,1.8952252864837646,,
7,79,,,,,0.3344244360923767,1.7430285215377808
7,79,,,0.45390623807907104,1.7948625087738037,,
8,89,,,,,0.3319694399833679,1.6591750383377075
8,89,,,0.4437499940395355,1.6874902248382568,,
9,99,,,,,0.7460447549819946,1.5298004150390625
9,99,,,0.582812488079071,1.5867042541503906,,
10,109,,,,,0.6603928208351135,1.3908814191818237
10,109,,,0.604687511920929,1.4828968048095703,,
11,119,,,,,0.6841244101524353,1.2883937358856201
11,119,,,0.578125,1.3999885320663452,,
12,129,,,,,0.7482269406318665,1.220542311668396
12,129,,,0.6226562261581421,1.307835578918457,,
13,139,,,,,0.7962356805801392,1.1548293828964233
13,139,,,0.7171875238418579,1.2246370315551758,,
14,149,,,,,0.8090561628341675,1.070192813873291
14,149,,,0.737500011920929,1.1334984302520752,,
15,159,,,,,0.8147845268249512,0.9974375367164612
15,159,,,0.7406250238418579,1.0568230152130127,,
16,169,,,,,0.8346972465515137,0.9307409524917603
16,169,,,0.7671874761581421,0.9924565553665161,,
17,179,,,,,0.8619748950004578,0.8570943474769592
17,179,,,0.805468738079071,0.9288935661315918,,
18,189,,,,,0.8603382706642151,0.7760627269744873
18,189,,,0.8265625238418579,0.8693140745162964,,
19,199,,,,,0.8952536582946777,0.6957815885543823
19,199,,,0.840624988079071,0.8123893737792969,,
20,209,,,,,0.8701581954956055,0.6322051286697388
20,209,,,0.8460937738418579,0.7587850093841553,,
21,219,,,,,0.8685215711593628,0.5846490859985352
21,219,,,0.8218749761581421,0.7077199220657349,,
22,229,,,,,0.8895253539085388,0.5467522740364075
22,229,,,0.8382812738418579,0.656694769859314,,
23,239,,,,,0.9274413585662842,0.5014115571975708
23,239,,,0.8921874761581421,0.6070821285247803,,
24,249,,,,,0.945444643497467,0.45549139380455017
24,249,,,0.9351562261581421,0.5573566555976868,,
25,259,,,,,0.9402618408203125,0.41513559222221375
25,259,,,0.9398437738418579,0.5141710042953491,,
26,269,,,,,0.9394435286521912,0.38009753823280334
26,269,,,0.9390624761581421,0.47485479712486267,,
27,279,,,,,0.9443535208702087,0.35087624192237854
27,279,,,0.940625011920929,0.436839759349823,,
28,289,,,,,0.9552645683288574,0.322113573551178
28,289,,,0.9554687738418579,0.40304383635520935,,
29,299,,,,,0.9536279439926147,0.29625481367111206
29,299,,,0.960156261920929,0.36871111392974854,,
30,309,,,,,0.9525368213653564,0.2743598222732544
30,309,,,0.9585937261581421,0.33896633982658386,,
31,319,,,,,0.957446813583374,0.25388792157173157
31,319,,,0.953125,0.31130450963974,,
32,329,,,,,0.9596289992332458,0.23564790189266205
32,329,,,0.9585937261581421,0.2843984365463257,,
33,339,,,,,0.9672667980194092,0.22025318443775177
33,339,,,0.9609375,0.2608688473701477,,
34,349,,,,,0.9689034223556519,0.20525367558002472
34,349,,,0.9671875238418579,0.23978915810585022,,
35,359,,,,,0.9675395488739014,0.19098925590515137
35,359,,,0.967968761920929,0.22014519572257996,,
36,369,,,,,0.9678122997283936,0.1786767691373825
36,369,,,0.9671875238418579,0.20161834359169006,,
37,379,,,,,0.9713584184646606,0.16983985900878906
37,379,,,0.971875011920929,0.1849827617406845,,
38,389,,,,,0.9729951024055481,0.16260243952274323
38,389,,,0.9742187261581421,0.16984355449676514,,
39,399,,,,,0.9762684106826782,0.1533980518579483
39,399,,,0.9765625,0.1544617861509323,,
40,409,,,,,0.9773595333099365,0.14295697212219238
40,409,,,0.9789062738418579,0.13890120387077332,,
41,419,,,,,0.9768139719963074,0.13340537250041962
41,419,,,0.9765625,0.12528415024280548,,
42,429,,,,,0.9789961576461792,0.12510299682617188
42,429,,,0.9820312261581421,0.11166739463806152,,
43,439,,,,,0.9792689681053162,0.11903449892997742
43,439,,,0.985156238079071,0.10025654733181,,
44,449,,,,,0.9803600907325745,0.11375974118709564
44,449,,,0.984375,0.09128851443529129,,
45,459,,,,,0.981451153755188,0.10840345174074173
45,459,,,0.9859374761581421,0.08116251230239868,,
46,469,,,,,0.9833605885505676,0.10425318777561188
46,469,,,0.98828125,0.07174081355333328,,
47,479,,,,,0.9849972724914551,0.10219884663820267
47,479,,,0.989062488079071,0.0652473047375679,,
48,489,,,,,0.9852700233459473,0.10074905306100845
48,489,,,0.991406261920929,0.06013805419206619,,
49,499,,,,,0.9855428338050842,0.09932960569858551
49,499,,,0.991406261920929,0.05611919239163399,,
50,500,0.9855428338050842,0.09932960569858551,,,,
