epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,4,,,,,0.19858156144618988,16.37758445739746
0,4,,,0.1171875,9.981332778930664,,
1,9,,,,,0.15275505185127258,57.24064636230469
1,9,,,0.20468750596046448,31.660358428955078,,
2,14,,,,,0.237043097615242,73.0849380493164
2,14,,,0.17499999701976776,91.0118637084961,,
3,19,,,,,0.07665029913187027,190.40113830566406
3,19,,,0.25312501192092896,113.9415054321289,,
4,24,,,,,0.2302236706018448,270.58782958984375
4,24,,,0.33281248807907104,141.10025024414062,,
5,29,,,,,0.615657389163971,92.1536865234375
5,29,,,0.4921875,217.15185546875,,
6,34,,,,,0.6704855561256409,94.72869873046875
6,34,,,0.5062500238418579,124.92152404785156,,
7,39,,,,,0.41380250453948975,294.8684387207031
7,39,,,0.589062511920929,105.06718444824219,,
8,44,,,,,0.7206764817237854,162.4126739501953
8,44,,,0.745312511920929,104.54551696777344,,
9,49,,,,,0.7705946564674377,164.8569793701172
9,49,,,0.721875011920929,162.0211639404297,,
10,54,,,,,0.7408619523048401,279.5316467285156
10,54,,,0.770312488079071,211.66317749023438,,
11,59,,,,,0.932624101638794,156.63644409179688
11,59,,,0.8125,210.3306121826172,,
12,64,,,,,0.871522068977356,269.7323913574219
12,64,,,0.8921874761581421,254.6434326171875,,
13,69,,,,,0.8379705548286438,1148.152099609375
13,69,,,0.895312488079071,221.249267578125,,
14,74,,,,,0.929896354675293,511.7635498046875
14,74,,,0.856249988079071,543.8407592773438,,
15,79,,,,,0.8709765672683716,418.5708923339844
15,79,,,0.8687499761581421,362.30072021484375,,
16,84,,,,,0.960447371006012,175.87730407714844
16,84,,,0.9375,124.2530746459961,,
17,89,,,,,0.960174560546875,305.8642883300781
17,89,,,0.9296875,301.01934814453125,,
18,94,,,,,0.9345335364341736,523.2617797851562
18,94,,,0.9546874761581421,219.2743682861328,,
19,99,,,,,0.9378068447113037,878.7280883789062
19,99,,,0.918749988079071,550.989013671875,,
20,104,,,,,0.9659028649330139,560.2089233398438
20,104,,,0.9593750238418579,246.7206268310547,,
21,109,,,,,0.9806328415870667,668.1185302734375
21,109,,,0.984375,150.0719451904297,,
22,114,,,,,0.969448983669281,759.0169067382812
22,114,,,0.9703124761581421,471.25244140625,,
23,119,,,,,0.975995659828186,985.6807861328125
23,119,,,0.979687511920929,483.26611328125,,
24,124,,,,,0.9929078221321106,564.3009643554688
24,124,,,0.987500011920929,813.7332763671875,,
25,129,,,,,0.9855428338050842,1358.8466796875
25,129,,,0.995312511920929,96.39326477050781,,
26,134,,,,,0.9819967150688171,1227.49560546875
26,134,,,0.984375,331.07391357421875,,
27,139,,,,,0.9920894503593445,1075.91748046875
27,139,,,0.9921875,99.6220703125,,
28,144,,,,,0.9942716956138611,1170.18701171875
28,144,,,1.0,0.0,,
29,149,,,,,0.9776322841644287,1835.0340576171875
29,149,,,0.996874988079071,7.191796779632568,,
30,154,,,,,0.9882705807685852,2133.8642578125
30,154,,,0.9828125238418579,404.8492126464844,,
31,159,,,,,0.9803600907325745,4420.65673828125
31,159,,,0.9765625,1202.4501953125,,
32,164,,,,,0.9937261343002319,1441.3306884765625
32,164,,,0.9906250238418579,147.57070922851562,,
33,169,,,,,0.9953628182411194,1350.0103759765625
33,169,,,0.995312511920929,29.086523056030273,,
34,174,,,,,0.9830878376960754,3023.4365234375
34,174,,,0.9906250238418579,282.375,,
35,179,,,,,0.972449541091919,3359.5107421875
35,179,,,0.9937499761581421,287.67657470703125,,
36,184,,,,,0.9939988851547241,1226.7939453125
36,184,,,0.9859374761581421,717.8238525390625,,
37,189,,,,,0.987725019454956,1701.3494873046875
37,189,,,0.9984375238418579,35.935546875,,
38,194,,,,,0.9901800155639648,2625.006591796875
38,194,,,0.987500011920929,901.482421875,,
39,199,,,,,0.9942716956138611,2089.49609375
39,199,,,0.9906250238418579,2081.012939453125,,
40,204,,,,,0.9953628182411194,2316.8203125
40,204,,,0.9984375238418579,109.6734390258789,,
41,209,,,,,0.9961811304092407,3482.541259765625
41,209,,,0.996874988079071,1934.1171875,,
42,214,,,,,0.9969994425773621,2540.44580078125
42,214,,,0.9984375238418579,1526.317138671875,,
43,219,,,,,0.9929078221321106,5869.998046875
43,219,,,1.0,0.0,,
44,224,,,,,0.9833605885505676,11216.431640625
44,224,,,0.9937499761581421,843.1781005859375,,
45,229,,,,,0.987725019454956,12682.8154296875
45,229,,,0.995312511920929,1822.364013671875,,
46,234,,,,,0.9885433912277222,17107.494140625
46,234,,,0.995312511920929,947.9913940429688,,
47,239,,,,,0.9899072647094727,15875.9755859375
47,239,,,0.995312511920929,981.0491943359375,,
48,244,,,,,0.9893617033958435,15102.7412109375
48,244,,,0.9984375238418579,24.564062118530273,,
49,249,,,,,0.9882705807685852,12753.638671875
49,249,,,0.996874988079071,2813.28271484375,,
50,250,0.19858156144618988,16.37758445739746,,,,
