epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,9,,,,,0.07892527431249619,2.300205707550049
0,9,,,0.12031249701976776,2.3117709159851074,,
1,19,,,,,0.1481947898864746,2.289527416229248
1,19,,,0.13046875596046448,2.2791855335235596,,
2,29,,,,,0.15659110248088837,2.2527294158935547
2,29,,,0.15312500298023224,2.2309625148773193,,
3,39,,,,,0.08354324102401733,2.196051597595215
3,39,,,0.14609375596046448,2.1835713386535645,,
4,49,,,,,0.07682619988918304,2.1470208168029785
4,49,,,0.12578125298023224,2.136388063430786,,
5,59,,,,,0.07682619988918304,2.115567207336426
5,59,,,0.12265624850988388,2.108677387237549,,
6,69,,,,,0.07808564603328705,2.0914316177368164
6,69,,,0.12343750149011612,2.073277235031128,,
7,79,,,,,0.1024349257349968,2.0624582767486572
7,79,,,0.13203124701976776,2.0481619834899902,,
8,89,,,,,0.3820319175720215,2.0282769203186035
8,89,,,0.14765624701976776,2.017629384994507,,
9,99,,,,,0.41519731283187866,2.0000057220458984
9,99,,,0.16484375298023224,1.9823938608169556,,
10,109,,,,,0.40764063596725464,1.9814157485961914
10,109,,,0.18437500298023224,1.96798574924469,,
11,119,,,,,0.4135180413722992,1.9478703737258911
11,119,,,0.21953125298023224,1.9274988174438477,,
12,129,,,,,0.4315701127052307,1.906962275505066
12,129,,,0.23906250298023224,1.9073644876480103,,
13,139,,,,,0.40764063596725464,1.8878024816513062
13,139,,,0.24531249701976776,1.895331621170044,,
14,149,,,,,0.4038622975349426,1.8717142343521118
14,149,,,0.265625,1.8610808849334717,,
15,159,,,,,0.4122585952281952,1.8330961465835571
15,159,,,0.24531249701976776,1.878016471862793,,
16,169,,,,,0.4399664103984833,1.7831815481185913
16,169,,,0.28203123807907104,1.8233751058578491,,
17,179,,,,,0.45465993881225586,1.7341468334197998
17,179,,,0.2750000059604645,1.773742914199829,,
18,189,,,,,0.4739714562892914,1.704918384552002
18,189,,,0.2757812440395355,1.7460225820541382,,
19,199,,,,,0.39840468764305115,1.683775544166565
19,199,,,0.2718749940395355,1.7347028255462646,,
20,209,,,,,0.47019311785697937,1.6432608366012573
20,209,,,0.2593750059604645,1.7192068099975586,,
21,219,,,,,0.40764063596725464,1.58851158618927
21,219,,,0.26171875,1.6655216217041016,,
22,229,,,,,0.4328295588493347,1.536375880241394
22,229,,,0.28593748807907104,1.6332321166992188,,
23,239,,,,,0.4550797641277313,1.4967260360717773
23,239,,,0.27031248807907104,1.6086456775665283,,
24,249,,,,,0.4617968201637268,1.4624751806259155
24,249,,,0.2734375,1.5848549604415894,,
25,259,,,,,0.5251889228820801,1.4407655000686646
25,259,,,0.30390626192092896,1.5641776323318481,,
26,269,,,,,0.5931990146636963,1.4524067640304565
26,269,,,0.34843748807907104,1.5299512147903442,,
27,279,,,,,0.367758184671402,1.4742285013198853
27,279,,,0.35546875,1.5428935289382935,,
28,289,,,,,0.3673383593559265,1.469810962677002
28,289,,,0.37890625,1.5096697807312012,,
29,299,,,,,0.3308144509792328,1.4490752220153809
29,299,,,0.390625,1.4936583042144775,,
30,309,,,,,0.2976490259170532,1.4270250797271729
30,309,,,0.3804687559604645,1.4732266664505005,,
31,319,,,,,0.5822837948799133,1.3834283351898193
31,319,,,0.35859376192092896,1.47841477394104,,
32,329,,,,,0.6028547286987305,1.3071311712265015
32,329,,,0.3812499940395355,1.4145348072052002,,
33,339,,,,,0.6540722250938416,1.2385972738265991
33,339,,,0.4273437559604645,1.3569895029067993,,
34,349,,,,,0.6251049637794495,1.2172963619232178
34,349,,,0.43671876192092896,1.3377432823181152,,
35,359,,,,,0.6171284914016724,1.194571614265442
35,359,,,0.42500001192092896,1.365752935409546,,
36,369,,,,,0.6255247592926025,1.180866003036499
36,369,,,0.4609375,1.3028614521026611,,
37,379,,,,,0.7401343584060669,1.2058042287826538
37,379,,,0.4515624940395355,1.2973392009735107,,
38,389,,,,,0.744332492351532,1.2126175165176392
38,389,,,0.4554687440395355,1.2696726322174072,,
39,399,,,,,0.49832072854042053,1.1856178045272827
39,399,,,0.46796876192092896,1.2418713569641113,,
40,409,,,,,0.760705292224884,1.1615930795669556
40,409,,,0.510937511920929,1.1811425685882568,,
41,419,,,,,0.6897565126419067,1.1286755800247192
41,419,,,0.4921875,1.2002955675125122,,
42,429,,,,,0.6863979697227478,1.0314936637878418
42,429,,,0.5132812261581421,1.1690022945404053,,
43,439,,,,,0.6817800402641296,0.9345807433128357
43,439,,,0.55078125,1.1028151512145996,,
44,449,,,,,0.6738035082817078,0.9029486775398254
44,449,,,0.546093761920929,1.0991346836090088,,
45,459,,,,,0.6792611479759216,0.8986992835998535
45,459,,,0.5414062738418579,1.0724502801895142,,
46,469,,,,,0.6914357542991638,0.9151602983474731
46,469,,,0.5492187738418579,1.0797457695007324,,
47,479,,,,,0.767842173576355,0.9643601775169373
47,479,,,0.56640625,1.0092296600341797,,
48,489,,,,,0.5806045532226562,1.0206661224365234
48,489,,,0.569531261920929,1.0088576078414917,,
49,499,,,,,0.5226700305938721,1.0165047645568848
49,499,,,0.5625,1.003967523574829,,
50,500,0.6792611479759216,0.8986992835998535,,,,
