epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,1,,,,,0.07640638202428818,7.084741115570068
0,2,,,0.06875000149011612,7.143719673156738,,
1,4,,,,,0.1536523997783661,15.04454517364502
1,5,,,0.125,25.9951171875,,
2,7,,,,,0.3858102560043335,8.308382987976074
2,8,,,0.21875,19.404720306396484,,
3,10,,,,,0.07682619988918304,7.901987075805664
3,11,,,0.20000000298023224,12.50221061706543,,
4,13,,,,,0.18975651264190674,4.524887561798096
4,14,,,0.23749999701976776,8.039491653442383,,
5,16,,,,,0.14525608718395233,2.63991379737854
5,17,,,0.16875000298023224,5.1733527183532715,,
6,19,,,,,0.42191436886787415,4.536773204803467
6,20,,,0.15000000596046448,5.396131992340088,,
7,22,,,,,0.3992443382740021,3.6500244140625
7,23,,,0.1875,5.883867263793945,,
8,25,,,,,0.12384551018476486,9.721134185791016
8,26,,,0.18125000596046448,7.00228214263916,,
9,28,,,,,0.13098236918449402,17.182363510131836
9,29,,,0.21250000596046448,6.411160945892334,,
10,31,,,,,0.15113350749015808,11.505173683166504
10,32,,,0.21250000596046448,5.28845739364624,,
11,34,,,,,0.18471872806549072,4.845137596130371
11,35,,,0.2562499940395355,5.283468723297119,,
12,37,,,,,0.19185557961463928,2.4737110137939453
12,38,,,0.19374999403953552,2.874567985534668,,
13,40,,,,,0.17506296932697296,2.457014322280884
13,41,,,0.14374999701976776,2.535274028778076,,
14,43,,,,,0.11209067702293396,2.204707622528076
14,44,,,0.06875000149011612,2.446582317352295,,
15,46,,,,,0.07682619988918304,2.4849660396575928
15,47,,,0.10000000149011612,2.6582648754119873,,
16,49,,,,,0.07682619988918304,3.407148599624634
16,50,,,0.09375,2.5940842628479004,,
17,52,,,,,0.07682619988918304,5.471127510070801
17,53,,,0.125,2.710927963256836,,
18,55,,,,,0.07766582816839218,8.196601867675781
18,56,,,0.08124999701976776,3.0042214393615723,,
19,58,,,,,0.08816120773553848,7.980212688446045
19,59,,,0.17499999701976776,2.9344425201416016,,
20,61,,,,,0.1389588564634323,6.695249557495117
20,62,,,0.14374999701976776,4.048556327819824,,
21,64,,,,,0.15281276404857635,6.5948052406311035
21,65,,,0.17499999701976776,3.680622100830078,,
22,67,,,,,0.15239295363426208,6.649662017822266
22,68,,,0.21875,3.55659818649292,,
23,70,,,,,0.16330814361572266,5.776061534881592
23,71,,,0.17499999701976776,5.881609916687012,,
24,73,,,,,0.16078925132751465,6.753561019897461
24,74,,,0.18125000596046448,5.719539642333984,,
25,76,,,,,0.15197312831878662,6.770373821258545
25,77,,,0.13124999403953552,4.95989465713501,,
26,79,,,,,0.14987406134605408,7.399844646453857
26,80,,,0.1875,4.604177951812744,,
27,82,,,,,0.15449202060699463,6.112682342529297
27,83,,,0.17499999701976776,3.44614839553833,,
28,85,,,,,0.15785054862499237,4.923604488372803
28,86,,,0.19374999403953552,4.123291969299316,,
29,88,,,,,0.16834592819213867,3.28226900100708
29,89,,,0.18125000596046448,3.3233940601348877,,
30,91,,,,,0.17002518475055695,2.7016332149505615
30,92,,,0.23749999701976776,2.983332872390747,,
31,94,,,,,0.16078925132751465,2.399400234222412
31,95,,,0.13750000298023224,3.9876670837402344,,
32,97,,,,,0.15155331790447235,2.32932710647583
32,98,,,0.17499999701976776,4.439728736877441,,
33,100,,,,,0.12930311262607574,2.3223206996917725
33,101,,,0.16249999403953552,3.3102569580078125,,
34,103,,,,,0.10075566917657852,2.3961684703826904
34,104,,,0.14374999701976776,2.9445478916168213,,
35,106,,,,,0.08018472045660019,2.4656498432159424
35,107,,,0.14374999701976776,3.0853307247161865,,
36,109,,,,,0.07766582816839218,2.479962110519409
36,110,,,0.10000000149011612,4.03233528137207,,
37,112,,,,,0.07682619988918304,2.4816431999206543
37,113,,,0.13750000298023224,2.5222315788269043,,
38,115,,,,,0.07682619988918304,2.4807662963867188
38,116,,,0.11874999850988388,4.276723384857178,,
39,118,,,,,0.07682619988918304,2.47900390625
39,119,,,0.11874999850988388,3.26965594291687,,
40,121,,,,,0.07682619988918304,2.476754903793335
40,122,,,0.11249999701976776,2.656651258468628,,
41,124,,,,,0.07682619988918304,2.473517894744873
41,125,,,0.11249999701976776,3.218823194503784,,
42,127,,,,,0.07682619988918304,2.469407320022583
42,128,,,0.11249999701976776,3.0330004692077637,,
43,130,,,,,0.07682619988918304,2.4645400047302246
43,131,,,0.125,2.8081743717193604,,
44,133,,,,,0.07682619988918304,2.4593558311462402
44,134,,,0.10625000298023224,3.9179558753967285,,
45,136,,,,,0.07682619988918304,2.453416585922241
45,137,,,0.13124999403953552,2.6211113929748535,,
46,139,,,,,0.07640638202428818,2.447192668914795
46,140,,,0.15000000596046448,3.194762706756592,,
47,142,,,,,0.07640638202428818,2.439873456954956
47,143,,,0.11874999850988388,6.6716179847717285,,
48,145,,,,,0.07640638202428818,2.432508945465088
48,146,,,0.11874999850988388,3.722543239593506,,
49,148,,,,,0.07682619988918304,2.4247188568115234
49,149,,,0.11874999850988388,4.1014404296875,,
50,150,0.11209067702293396,2.204707622528076,,,,
