epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,9,,,,,0.07724601030349731,2.301666736602783
0,9,,,0.12187500298023224,2.314112424850464,,
1,19,,,,,0.08354324102401733,2.301974296569824
1,19,,,0.125,2.321941375732422,,
2,29,,,,,0.09487825632095337,2.2994561195373535
2,29,,,0.11249999701976776,2.3156893253326416,,
3,39,,,,,0.10663308203220367,2.2960410118103027
3,39,,,0.12812499701976776,2.3052003383636475,,
4,49,,,,,0.11712846159934998,2.2929255962371826
4,49,,,0.12968750298023224,2.30911922454834,,
5,59,,,,,0.12552477419376373,2.290252208709717
5,59,,,0.12031249701976776,2.2958314418792725,,
6,69,,,,,0.13308145105838776,2.287940263748169
6,69,,,0.09687499701976776,2.304546594619751,,
7,79,,,,,0.14105793833732605,2.285720109939575
7,79,,,0.109375,2.300626754760742,,
8,89,,,,,0.14483627676963806,2.2840073108673096
8,89,,,0.125,2.3052546977996826,,
9,99,,,,,0.1481947898864746,2.281853199005127
9,99,,,0.10312499850988388,2.293452024459839,,
10,109,,,,,0.15029387176036835,2.279711961746216
10,109,,,0.12343750149011612,2.2836413383483887,,
11,119,,,,,0.15533165633678436,2.2776854038238525
11,119,,,0.12812499701976776,2.2902698516845703,,
12,129,,,,,0.15910999476909637,2.2756876945495605
12,129,,,0.1328125,2.2814178466796875,,
13,139,,,,,0.16036944091320038,2.273578643798828
13,139,,,0.140625,2.27760648727417,,
14,149,,,,,0.1641477793455124,2.2717409133911133
14,149,,,0.11093749850988388,2.278574228286743,,
15,159,,,,,0.17002518475055695,2.2699573040008545
15,159,,,0.13906249403953552,2.2725114822387695,,
16,169,,,,,0.16876573860645294,2.26782488822937
16,169,,,0.12031249701976776,2.272533893585205,,
17,179,,,,,0.1679261177778244,2.2659919261932373
17,179,,,0.15000000596046448,2.2697272300720215,,
18,189,,,,,0.16708648204803467,2.264143943786621
18,189,,,0.15000000596046448,2.260693073272705,,
19,199,,,,,0.1628883332014084,2.26237416267395
19,199,,,0.1484375,2.27512264251709,,
20,209,,,,,0.16624684631824493,2.260685920715332
20,209,,,0.12031249701976776,2.2676873207092285,,
21,219,,,,,0.16330814361572266,2.258765935897827
21,219,,,0.12968750298023224,2.269427537918091,,
22,229,,,,,0.15952980518341064,2.256777048110962
22,229,,,0.13906249403953552,2.2541451454162598,,
23,239,,,,,0.15827035903930664,2.254847288131714
23,239,,,0.13750000298023224,2.2609734535217285,,
24,249,,,,,0.1586901694536209,2.253613233566284
24,249,,,0.13593749701976776,2.260514497756958,,
25,259,,,,,0.15449202060699463,2.251868486404419
25,259,,,0.14531250298023224,2.248732805252075,,
26,269,,,,,0.15281276404857635,2.25014591217041
26,269,,,0.1171875,2.2570035457611084,,
27,279,,,,,0.15407221019268036,2.248814344406128
27,279,,,0.15937499701976776,2.2491490840911865,,
28,289,,,,,0.15155331790447235,2.2466440200805664
28,289,,,0.13437500596046448,2.2485620975494385,,
29,299,,,,,0.1494542360305786,2.245135545730591
29,299,,,0.12812499701976776,2.252816677093506,,
30,309,,,,,0.14483627676963806,2.2435224056243896
30,309,,,0.17656250298023224,2.2369673252105713,,
31,319,,,,,0.1431570053100586,2.241758346557617
31,319,,,0.15937499701976776,2.238192558288574,,
32,329,,,,,0.14273719489574432,2.239818572998047
32,329,,,0.13437500596046448,2.2389750480651855,,
33,339,,,,,0.13979849219322205,2.2379989624023438
33,339,,,0.14218750596046448,2.2346913814544678,,
34,349,,,,,0.13979849219322205,2.2367303371429443
34,349,,,0.13593749701976776,2.2347733974456787,,
35,359,,,,,0.1376994103193283,2.235032081604004
35,359,,,0.15156249701976776,2.2254106998443604,,
36,369,,,,,0.13602015376091003,2.2332587242126465
36,369,,,0.19062499701976776,2.2162845134735107,,
37,379,,,,,0.13476070761680603,2.2318835258483887
37,379,,,0.13906249403953552,2.2278072834014893,,
38,389,,,,,0.1314021795988083,2.2298567295074463
38,389,,,0.15312500298023224,2.228762149810791,,
39,399,,,,,0.12888328731060028,2.228367328643799
39,399,,,0.17031249403953552,2.206792116165161,,
40,409,,,,,0.12636439502239227,2.2264180183410645
40,409,,,0.17031249403953552,2.2209906578063965,,
41,419,,,,,0.124685138463974,2.2255845069885254
41,419,,,0.15000000596046448,2.2112526893615723,,
42,429,,,,,0.12258606404066086,2.224135637283325
42,429,,,0.16875000298023224,2.2248897552490234,,
43,439,,,,,0.12174642831087112,2.2227182388305664
43,439,,,0.13437500596046448,2.224306583404541,,
44,449,,,,,0.11964735388755798,2.2210264205932617
44,449,,,0.1484375,2.223968982696533,,
45,459,,,,,0.11712846159934998,2.2196388244628906
45,459,,,0.16249999403953552,2.2040183544158936,,
46,469,,,,,0.1154492050409317,2.2177836894989014
46,469,,,0.1484375,2.2124133110046387,,
47,479,,,,,0.11502938717603683,2.2163729667663574
47,479,,,0.14687499403953552,2.2144789695739746,,
48,489,,,,,0.11167086660861969,2.21441912651062
48,489,,,0.13906249403953552,2.213862180709839,,
49,499,,,,,0.11167086660861969,2.213581085205078
49,499,,,0.12656250596046448,2.219484806060791,,
50,500,0.11167086660861969,2.213581085205078,,,,
