epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,9,,,,,0.04004576802253723,2.3154306411743164
0,9,,,0.11796875298023224,2.261788845062256,,
1,19,,,,,0.10297483205795288,2.2669053077697754
1,19,,,0.29296875,2.021798610687256,,
2,29,,,,,0.20709381997585297,2.0914552211761475
2,29,,,0.3648437559604645,1.8733783960342407,,
3,39,,,,,0.29061785340309143,1.8757045269012451
3,39,,,0.42656248807907104,1.7683801651000977,,
4,49,,,,,0.3478260934352875,1.7408517599105835
4,49,,,0.4546875059604645,1.682535171508789,,
5,59,,,,,0.42906177043914795,1.652669072151184
5,59,,,0.49921876192092896,1.6121413707733154,,
6,69,,,,,0.5102974772453308,1.5908010005950928
6,69,,,0.555468738079071,1.5478498935699463,,
7,79,,,,,0.6098397970199585,1.5422544479370117
7,79,,,0.639843761920929,1.4885542392730713,,
8,89,,,,,0.7322654724121094,1.4989581108093262
8,89,,,0.7109375,1.4306511878967285,,
9,99,,,,,0.7894737124443054,1.454384684562683
9,99,,,0.7515624761581421,1.3805404901504517,,
10,109,,,,,0.818077802658081,1.4094953536987305
10,109,,,0.7578125,1.3390617370605469,,
11,119,,,,,0.8192219734191895,1.3642139434814453
11,119,,,0.764843761920929,1.3016860485076904,,
12,129,,,,,0.8283752799034119,1.3196817636489868
12,129,,,0.782031238079071,1.2515496015548706,,
13,139,,,,,0.8352402448654175,1.2774653434753418
13,139,,,0.7867187261581421,1.2134873867034912,,
14,149,,,,,0.8375285863876343,1.2380101680755615
14,149,,,0.7875000238418579,1.1849461793899536,,
15,159,,,,,0.8455377817153931,1.2013520002365112
15,159,,,0.7984374761581421,1.1492588520050049,,
16,169,,,,,0.8466818928718567,1.1642459630966187
16,169,,,0.797656238079071,1.1119654178619385,,
17,179,,,,,0.8501144051551819,1.1272454261779785
17,179,,,0.803906261920929,1.0803457498550415,,
18,189,,,,,0.8512585759162903,1.0880446434020996
18,189,,,0.8070312738418579,1.047868251800537,,
19,199,,,,,0.8512585759162903,1.0476083755493164
19,199,,,0.8101562261581421,1.020447850227356,,
20,209,,,,,0.8501144051551819,1.0037360191345215
20,209,,,0.815625011920929,0.9920696020126343,,
21,219,,,,,0.8546910881996155,0.9593380093574524
21,219,,,0.819531261920929,0.961018443107605,,
22,229,,,,,0.8592677116394043,0.9169988036155701
22,229,,,0.823437511920929,0.9214458465576172,,
23,239,,,,,0.8684210777282715,0.8777722120285034
23,239,,,0.819531261920929,0.9034031629562378,,
24,249,,,,,0.8787185549736023,0.838668704032898
24,249,,,0.839062511920929,0.8752182722091675,,
25,259,,,,,0.8775743842124939,0.8026703596115112
25,259,,,0.8359375,0.854653537273407,,
26,269,,,,,0.8810068368911743,0.7699084281921387
26,269,,,0.8515625,0.8327928781509399,,
27,279,,,,,0.8890160322189331,0.7413650155067444
27,279,,,0.8515625,0.8030719757080078,,
28,289,,,,,0.8924484848976135,0.7157021760940552
28,289,,,0.8539062738418579,0.7819679975509644,,
29,299,,,,,0.8981693387031555,0.6925675868988037
29,299,,,0.858593761920929,0.7673250436782837,,
30,309,,,,,0.8970251679420471,0.6683589816093445
30,309,,,0.8648437261581421,0.7424367070198059,,
31,319,,,,,0.9038901329040527,0.6486323475837708
31,319,,,0.867968738079071,0.7295151948928833,,
32,329,,,,,0.9050343036651611,0.6301236748695374
32,329,,,0.867968738079071,0.7159563302993774,,
33,339,,,,,0.9107551574707031,0.6083747744560242
33,339,,,0.8804687261581421,0.6797442436218262,,
34,349,,,,,0.9176201224327087,0.5901721715927124
34,349,,,0.885937511920929,0.6691572666168213,,
35,359,,,,,0.9199084639549255,0.5726253390312195
35,359,,,0.901562511920929,0.6544899940490723,,
36,369,,,,,0.9244851469993591,0.5544497966766357
36,369,,,0.901562511920929,0.6321722269058228,,
37,379,,,,,0.9267734289169312,0.5371956825256348
37,379,,,0.90234375,0.6162296533584595,,
38,389,,,,,0.9302059412002563,0.5235320329666138
38,389,,,0.9156249761581421,0.6016422510147095,,
39,399,,,,,0.9324942827224731,0.5060739517211914
39,399,,,0.917187511920929,0.5793160200119019,,
40,409,,,,,0.9393592476844788,0.49454638361930847
40,409,,,0.91796875,0.5686694383621216,,
41,419,,,,,0.9393592476844788,0.4802107810974121
41,419,,,0.9320312738418579,0.5437094569206238,,
42,429,,,,,0.9416475892066956,0.4676024615764618
42,429,,,0.9281250238418579,0.5368776321411133,,
43,439,,,,,0.942791759967804,0.45242372155189514
43,439,,,0.938281238079071,0.5148717164993286,,
44,449,,,,,0.9450801014900208,0.4412478804588318
44,449,,,0.936718761920929,0.5044370889663696,,
45,459,,,,,0.9473684430122375,0.4274812936782837
45,459,,,0.9429687261581421,0.49700459837913513,,
46,469,,,,,0.9473684430122375,0.41595444083213806
46,469,,,0.9507812261581421,0.4661077857017517,,
47,479,,,,,0.950800895690918,0.4055558741092682
47,479,,,0.9515625238418579,0.45672282576560974,,
48,489,,,,,0.9553775787353516,0.39481255412101746
48,489,,,0.948437511920929,0.44737520813941956,,
49,499,,,,,0.9599542617797852,0.38022473454475403
49,499,,,0.961718738079071,0.4320581555366516,,
50,500,0.9599542617797852,0.38022473454475403,,,,
