epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,4,,,,,0.07334963232278824,2.272528886795044
0,4,,,0.3499999940395355,1.8493263721466064,,
1,9,,,,,0.07334963232278824,2.351807117462158
1,9,,,0.6796875,1.082683801651001,,
2,14,,,,,0.07334963232278824,2.5453898906707764
2,14,,,0.8218749761581421,0.8136976957321167,,
3,19,,,,,0.07334963232278824,2.8586630821228027
3,19,,,0.8812500238418579,0.6451917886734009,,
4,24,,,,,0.07334963232278824,3.2478325366973877
4,24,,,0.9203125238418579,0.5615617632865906,,
5,29,,,,,0.161369189620018,3.475069046020508
5,29,,,0.9437500238418579,0.4978451132774353,,
6,34,,,,,0.17603911459445953,3.257082462310791
6,34,,,0.957812488079071,0.4405389726161957,,
7,39,,,,,0.2078239619731903,2.5258941650390625
7,39,,,0.973437488079071,0.3666486144065857,,
8,44,,,,,0.3007335066795349,1.6072291135787964
8,44,,,0.971875011920929,0.326844185590744,,
9,49,,,,,0.7530562281608582,0.8144415616989136
9,49,,,0.987500011920929,0.3053559362888336,,
10,54,,,,,0.9193153977394104,0.45134347677230835
10,54,,,0.987500011920929,0.25687453150749207,,
11,59,,,,,0.9388753175735474,0.33062538504600525
11,59,,,0.987500011920929,0.2549893856048584,,
12,64,,,,,0.95110023021698,0.2807745933532715
12,64,,,0.9921875,0.21531665325164795,,
13,69,,,,,0.9584352374076843,0.256416916847229
13,69,,,0.9984375238418579,0.21553316712379456,,
14,74,,,,,0.9584352374076843,0.2388712763786316
14,74,,,0.9984375238418579,0.191435769200325,,
15,79,,,,,0.9633252024650574,0.22627735137939453
15,79,,,0.9984375238418579,0.17160925269126892,,
16,84,,,,,0.9657701849937439,0.21633730828762054
16,84,,,1.0,0.17694403231143951,,
17,89,,,,,0.9731051325798035,0.2099246382713318
17,89,,,0.9984375238418579,0.16399922966957092,,
18,94,,,,,0.97555011510849,0.20588934421539307
18,94,,,1.0,0.1473233997821808,,
19,99,,,,,0.9779950976371765,0.20227870345115662
19,99,,,1.0,0.14713647961616516,,
20,104,,,,,0.980440080165863,0.1982077658176422
20,104,,,1.0,0.13386256992816925,,
21,109,,,,,0.980440080165863,0.1927000880241394
21,109,,,1.0,0.13262416422367096,,
22,114,,,,,0.9828850626945496,0.18613342940807343
22,114,,,1.0,0.12958252429962158,,
23,119,,,,,0.9828850626945496,0.17739243805408478
23,119,,,1.0,0.11491259187459946,,
24,124,,,,,0.9828850626945496,0.16903094947338104
24,124,,,1.0,0.10862328112125397,,
25,129,,,,,0.9853300452232361,0.16044747829437256
25,129,,,1.0,0.09756604582071304,,
26,134,,,,,0.9853300452232361,0.15226444602012634
26,134,,,1.0,0.10369016975164413,,
27,139,,,,,0.9853300452232361,0.1457337886095047
27,139,,,1.0,0.0964662954211235,,
28,144,,,,,0.9853300452232361,0.14085130393505096
28,144,,,1.0,0.10197367519140244,,
29,149,,,,,0.9853300452232361,0.13669978082180023
29,149,,,1.0,0.089181087911129,,
30,154,,,,,0.9853300452232361,0.13289107382297516
30,154,,,1.0,0.08455341309309006,,
31,159,,,,,0.9828850626945496,0.12936413288116455
31,159,,,1.0,0.08374857157468796,,
32,164,,,,,0.9828850626945496,0.12609313428401947
32,164,,,1.0,0.0826762393116951,,
33,169,,,,,0.9828850626945496,0.12255819141864777
33,169,,,1.0,0.07615849375724792,,
34,174,,,,,0.9828850626945496,0.11941172927618027
34,174,,,1.0,0.07724612951278687,,
35,179,,,,,0.9828850626945496,0.11528340727090836
35,179,,,1.0,0.07070609927177429,,
36,184,,,,,0.9828850626945496,0.11135907471179962
36,184,,,1.0,0.07467830181121826,,
37,189,,,,,0.9828850626945496,0.1073279082775116
37,189,,,1.0,0.06713280826807022,,
38,194,,,,,0.9902200698852539,0.10335792601108551
38,194,,,1.0,0.06773163378238678,,
39,199,,,,,0.9926650524139404,0.09966665506362915
39,199,,,1.0,0.06777976453304291,,
40,204,,,,,0.9926650524139404,0.0962032824754715
40,204,,,0.9984375238418579,0.06584639847278595,,
41,209,,,,,0.9926650524139404,0.09272058308124542
41,209,,,1.0,0.05656188726425171,,
42,214,,,,,0.9926650524139404,0.0898042768239975
42,214,,,0.9984375238418579,0.05464274436235428,,
43,219,,,,,0.9926650524139404,0.08697660267353058
43,219,,,1.0,0.053860247135162354,,
44,224,,,,,0.9926650524139404,0.08355268090963364
44,224,,,0.9984375238418579,0.05782861262559891,,
45,229,,,,,0.9926650524139404,0.08061067014932632
45,229,,,1.0,0.05123652145266533,,
46,234,,,,,0.9926650524139404,0.07810837030410767
46,234,,,1.0,0.05132925510406494,,
47,239,,,,,0.9926650524139404,0.07523325830698013
47,239,,,1.0,0.047514863312244415,,
48,244,,,,,0.995110034942627,0.07295877486467361
48,244,,,1.0,0.04480132833123207,,
49,249,,,,,0.9975550174713135,0.0705125480890274
49,249,,,1.0,0.04637204855680466,,
50,250,0.9975550174713135,0.0705125480890274,,,,
